SKU,Price,Date
3,109.58,25-07-2009
2,57.96,25-07-2009
3,115.98,25-07-2009
2,55.59,25-07-2009
2,44.99,29-01-2010
2,55.5,25-07-2009
2,54.6,30-01-2010
1,147.86,30-01-2010
2,55,30-01-2010
2,54.77,30-01-2010
2,58,25-07-2009
3,109.58,25-07-2009
1,148.32,29-01-2010
3,84.37,30-01-2010
2,54.91,30-01-2010
1,147.9,30-01-2010
1,147.89,30-01-2010
1,148.32,30-01-2010
1,147.9,30-01-2010
1,139.3,25-07-2009
3,109.58,26-07-2009
2,57.96,26-07-2009
2,58,26-07-2009
3,115.98,26-07-2009
2,55.59,26-07-2009
3,109.71,30-01-2010
2,45.44,30-01-2010
3,109.58,26-07-2009
2,55.5,26-07-2009
2,49.85,30-01-2010
